Section,Requirement,Buyer specification,Acceptance tolerance,Notes
Product,Product name,,,
Product,Variety or type,,,
Product,Country or region of origin,,,
Physical,Grade,,,
Physical,Size or count,,,
Physical,Colour or appearance,,,
Measured,Moisture,,,
Measured,Purity or foreign matter,,,
Measured,Residue or microbiological parameters,,,
Packaging,Inner pack material and weight,,,
Packaging,Outer pack and marks,,,
Inspection,Inspection stage and agency,,,
Delivery,Temperature and handling,,,
Delivery,Destination and required date,,,
